DEALER_ORDER_ID,PART_CODE,PART_NAME,PART_QUANTITY,COST,RETAIL_PRICE,DISCOUNT_RATE,PAID_IN_AMOUNT,CREATE_BY,CREATE_DATE
000043,PASC0260BYD001,"Suspension Components (Shocks, Struts)",1.0,1728.42,775.09,0.34,103.01,9999999999,2024-04-11
000044,PACP0004BYD001,Charging Port,1.0,2843.0,1405.47,0.4,4738.98,9999999999,2024-08-03
000045,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,1214.06,368.63,0.31,931.13,9999999999,2024-01-22
000046,PAPEC007BYD005,Power Electronics Controller,1.0,391.35,593.51,0.19,3925.19,9999999999,2024-05-12
000047,PAPEC007BYD001,Power Electronics Controller,1.0,2030.72,2769.2,0.16,2853.92,9999999999,2024-06-13
000048,PACP0004BYD001,Charging Port,1.0,2034.55,1607.63,0.56,4482.52,9999999999,2024-07-06
000049,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,301.39,1483.03,0.5,4917.19,9999999999,2024-05-03
000050,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,2677.1,2356.28,0.48,4323.65,9999999999,2024-02-16
000051,PAPEC007BYD001,Power Electronics Controller,1.0,696.62,2476.07,0.16,961.51,9999999999,2024-06-12
000052,PACP0004BYD001,Charging Port,1.0,339.71,342.65,0.54,609.81,9999999999,2024-04-07
000053,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,525.1,1278.2,0.13,2047.15,9999999999,2024-05-13
000054,PABP0001BYD002,Battery Pack,1.0,1695.85,2428.13,0.24,1225.2,9999999999,2024-02-28
000055,PAHVC011BYD001,High Voltage Cables,1.0,2433.11,955.5,0.18,2550.59,9999999999,2024-01-04
000056,PACP0004BYD001,Charging Port,1.0,1213.35,448.68,0.46,3136.05,9999999999,2024-05-30
000057,PAPEC007BYD001,Power Electronics Controller,1.0,1213.3,1206.6,0.25,1894.02,9999999999,2024-01-11
000058,PACL0310BYD001,Coolant (for thermal management),1.0,2260.06,858.15,0.26,3824.33,9999999999,2024-05-10
000059,PACP0004BYD001,Charging Port,1.0,2849.7,360.91,0.52,3798.81,9999999999,2024-06-03
000060,PACP0004BYD001,Charging Port,1.0,2257.07,851.8,0.3,939.86,9999999999,2024-02-13
000061,PATMS008BYD003,Thermal Management System,1.0,1996.69,1162.63,0.56,1747.61,9999999999,2024-08-03
000062,PACP0004BYD003,Charging Port,1.0,1688.66,2538.48,0.41,107.61,9999999999,2024-03-23
000063,PAWS0210BYD005,Windshield,1.0,2472.0,644.91,0.45,896.77,9999999999,2024-08-03
000064,PABP0001BYD001,Battery Pack,1.0,720.93,1871.61,0.24,3030.31,9999999999,2024-02-26
000065,PAPEC007BYD005,Power Electronics Controller,1.0,2601.71,1858.91,0.42,1500.72,9999999999,2024-02-02
000066,PABMS006BYD004,Battery Management System (BMS),1.0,2649.11,1232.24,0.2,4043.86,9999999999,2024-01-13
000067,PABP0001BYD003,Battery Pack,1.0,339.73,1424.66,0.45,3403.41,9999999999,2024-03-21
000068,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,341.6,1791.36,0.12,2231.07,9999999999,2024-08-09
000069,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,2065.84,1456.63,0.45,2735.01,9999999999,2024-02-14
000070,PASC0260BYD001,"Suspension Components (Shocks, Struts)",4.0,2915.25,2634.31,0.44,1521.64,9999999999,2024-03-21
000071,PAIN0003BYD001,Inverter,1.0,1682.86,2754.47,0.49,3166.42,9999999999,2024-02-05
000072,PACP0004BYD001,Charging Port,1.0,2659.36,2994.23,0.56,3328.27,9999999999,2024-02-23
000073,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,1681.46,356.83,0.58,4783.72,9999999999,2024-04-01
000074,PABP0001BYD004,Battery Pack,1.0,2681.31,2908.2,0.17,3939.32,9999999999,2024-03-07
000075,PAPEC007BYD002,Power Electronics Controller,1.0,1843.72,116.96,0.55,4651.86,9999999999,2024-05-29
000076,PAPEC007BYD003,Power Electronics Controller,1.0,2028.8,1422.73,0.43,3883.46,9999999999,2024-03-18
000077,PABP0001BYD003,Battery Pack,1.0,2061.09,2550.45,0.36,2129.99,9999999999,2024-01-05
000078,PACP0004BYD001,Charging Port,1.0,1700.01,2030.17,0.4,1735.67,9999999999,2024-04-18
000079,PASC0260BYD001,"Suspension Components (Shocks, Struts)",4.0,2820.91,1972.98,0.13,3690.82,9999999999,2024-03-24
000080,PACP0004BYD001,Charging Port,1.0,2963.09,2202.0,0.47,4244.63,9999999999,2024-02-09
000081,PABMS006BYD003,Battery Management System (BMS),1.0,1846.94,1872.87,0.12,4010.86,9999999999,2024-05-20
000082,PABP0001BYD003,Battery Pack,1.0,1752.24,2063.26,0.38,3167.71,9999999999,2024-05-09
000083,PATMS008BYD003,Thermal Management System,1.0,2399.91,1555.43,0.17,363.57,9999999999,2024-04-07
000084,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,200.31,1314.78,0.23,4412.64,9999999999,2024-03-31
000085,PACP0004BYD001,Charging Port,1.0,1542.22,1754.08,0.23,4238.06,9999999999,2024-08-12
000086,PASC0260BYD001,"Suspension Components (Shocks, Struts)",4.0,2243.58,111.33,0.46,3056.93,9999999999,2024-08-07
000087,PACP0004BYD001,Charging Port,1.0,1991.68,2014.53,0.5,2110.28,9999999999,2024-08-07
000088,PAWS0210BYD001,Windshield,1.0,2558.43,515.41,0.47,2541.84,9999999999,2024-04-13
000089,PABP0001BYD005,Battery Pack,1.0,1284.98,1033.4,0.57,3780.4,9999999999,2024-02-09
000090,PAHVC011BYD002,High Voltage Cables,4.0,2818.17,2364.01,0.54,365.29,9999999999,2024-01-15
000091,PABP0001BYD001,Battery Pack,1.0,1321.88,1756.89,0.56,4945.67,9999999999,2024-05-07
000092,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,1938.78,2736.68,0.1,3388.13,9999999999,2024-02-14
000093,PACP0004BYD001,Charging Port,1.0,979.84,2304.02,0.57,4266.28,9999999999,2024-04-19
000094,PABP0001BYD004,Battery Pack,1.0,1234.45,423.77,0.58,3441.32,9999999999,2024-04-03
000095,PAIN0003BYD003,Inverter,1.0,1623.03,788.2,0.4,551.04,9999999999,2024-08-09
000096,PASC0260BYD004,"Suspension Components (Shocks, Struts)",4.0,1797.41,1186.09,0.28,800.94,9999999999,2024-02-07
000097,PACL0310BYD001,Coolant (for thermal management),5.0,1497.67,2460.04,0.29,2213.65,9999999999,2024-07-05
000098,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,1371.98,1233.26,0.52,2279.22,9999999999,2024-05-06
000099,PACP0004BYD004,Charging Port,1.0,2590.81,2466.73,0.31,4709.02,9999999999,2024-02-20
000100,PABP0001BYD003,Battery Pack,1.0,1379.44,1067.97,0.57,4687.31,9999999999,2024-02-23
