dealerId,dealerName,passedTraining,contactNumber,country,state,city,address
0015,Alves,Y,5561979072127,Brazil,CE,Fortaleza,"Parque Novais, 8 Ribeiro De Abreu 73874305 Lopes da Prata / MT"
0016,das Neves,N,5584965283598,Brazil,RJ,Rio de Janeiro,"Condomínio Gustavo Casa Grande, 59 Santa Maria 89499331 Leão do Oeste / GO"
0017,Rodrigues da Mota S.A.,Y,5581917369024,Brazil,MT,Cuiabá,"Aeroporto Vicente Pacheco, 996 Conjunto Santa Maria 33665166 Macedo da Serra / AC"
0018,da Rosa,Y,5531940440117,Brazil,SP,Campinas,"Colônia de Cavalcanti, 15 Sport Club 24033-179 Silva / BA"
0019,Novaes,N,5581904901050,Brazil,CE,Juazeiro do Norte,"Rodovia de Nascimento, 207 Coqueiros 67708-279 Abreu / BA"
0020,Pires,Y,5541947093606,Brazil,SP,Santos,"Quadra da Costa, 163 São Bento 08524-175 Novaes Paulista / SE"
0021,Alves Ltda.,N,5521937535903,Brazil,SP,Santos,"Residencial Daniela Gomes, 3 Álvaro Camargos 64812240 Rodrigues de Câmara / PR"
0022,Vasconcelos,Y,5551972705261,Brazil,RJ,Niterói,"Parque Elisa Nogueira, 9 Dom Bosco 57235-689 Guerra do Norte / SC"
0023,Sousa - EI,Y,5551937738017,Brazil,RS,Pelotas,"Passarela de Duarte, 52 Vila Coqueiral 68029473 Pereira de Teixeira / AP"
0024,Silveira,Y,5571963309748,Brazil,PR,Curitiba,"Via da Costa, 856 Jardim Guanabara 05808509 Pimenta / SC"
0025,Moura,Y,5531953920099,Brazil,RJ,Rio de Janeiro,"Colônia Vinicius da Paz, 27 Santana Do Cafezal 60731-295 Montenegro / RR"
0026,Novais Marques e Filhos,Y,5541960925758,Brazil,SP,São José dos Campos,"Lago Pimenta, 11 Vila São João Batista 63935070 Campos de Montenegro / SP"
0027,da Rocha e Filhos,Y,5551993886671,Brazil,MT,Cuiabá,"Largo de Ramos, 16 Vila Maria 79372177 Pereira do Sul / SC"
0028,Souza Ltda.,Y,5551938375355,Brazil,PR,Londrina,"Largo Guerra, 1 Primeiro De Maio 83643260 Andrade de Caldeira / AM"
0029,da Conceição Fernandes Ltda.,N,5541932671306,Brazil,AM,Itacoatiara,"Alameda Rios, 797 Vila São Dimas 59213675 Barros das Flores / PE"
0030,Fonseca Macedo Ltda.,Y,5521943328530,Brazil,CE,Juazeiro do Norte,"Vila Laura das Neves, 16 Liberdade 97695772 Monteiro de Abreu / PI"
0031,Albuquerque,Y,5541935083248,Brazil,GO,Anápolis,"Trevo de Nunes, 51 Alta Tensão 2ª Seção 20576-932 Casa Grande / AC"
0032,Montenegro Sales e Filhos,Y,5571922742230,Brazil,SP,São José dos Campos,"Trevo Giovanna das Neves, 62 Serrano 44002-232 Cassiano dos Dourados / RR"
0033,da Cunha Barbosa e Filhos,Y,5561965576175,Brazil,RS,Pelotas,"Vale Joana Pinto, 63 Conjunto Califórnia Ii 02137237 Cardoso / PE"
0034,Nogueira,Y,5581903663665,Brazil,MT,Cuiabá,Conjunto Lopes Santa Cruz 91702-151 da Mota / SE
0035,Aparecida Rocha Ltda.,Y,5541906765654,Brazil,BA,Salvador,"Via João Felipe Duarte, 649 Vila Mantiqueira 18223400 Novaes / RN"
0036,Rocha,N,5551987515066,Brazil,PR,Londrina,"Viaduto da Rocha, 8 Vila Puc 25403943 da Mota / PR"
0037,Moraes Ltda.,Y,5541936848047,Brazil,CE,Fortaleza,"Recanto Davi Miguel Ribeiro, 14 Conjunto Serra Verde 88406-838 Guerra / GO"
0038,da Costa Farias e Filhos,Y,5511969873056,Brazil,RJ,Rio de Janeiro,"Trevo Ana Beatriz Pacheco, 9 Aguas Claras 49007143 Silva das Pedras / AL"
0039,Pinto Novaes S.A.,Y,5511967111608,Brazil,MT,Rondonópolis,"Praia Cauã Alves, 69 Miramar 96487786 Almeida / TO"
0040,das Neves S.A.,N,5584910660411,Brazil,CE,Sobral,"Rodovia Leandro Souza, 42 Guarani 50296718 Pinto / PB"
0041,Almeida Ferreira Ltda.,Y,5561979970346,Brazil,RS,Porto Alegre,Via Maysa Alves São Salvador 67511566 Duarte / SE
0042,Lima e Filhos,N,5541969845048,Brazil,RJ,Rio de Janeiro,"Loteamento de Cunha, 512 Flavio Marques Lisboa 75166383 Marques de Fernandes / BA"
0043,Peixoto e Filhos,Y,5511968728973,Brazil,PA,Belém,"Recanto Caldeira, 55 Nossa Senhora Da Aparecida 36047092 Freitas de Goiás / RO"
0044,Montenegro,Y,5571972227337,Brazil,RJ,Niterói,"Ladeira Aragão, 31 Itatiaia 71537467 da Rosa do Amparo / MA"
0045,Cunha,Y,5584985934356,Brazil,RJ,Rio de Janeiro,"Lago de Andrade, 723 João Paulo Ii 82277367 Pinto de Rocha / RJ"
0046,Caldeira e Filhos,Y,5581943463210,Brazil,RJ,Niterói,"Jardim Jesus, 2 Vila Nova Dos Milionarios 20892312 Jesus da Praia / AP"
0047,Rocha Cardoso S/A,Y,5581932470991,Brazil,CE,Juazeiro do Norte,"Largo de Casa Grande, 944 Solar Do Barreiro 69128824 Melo / AP"
0048,Nunes e Filhos,Y,5571940841392,Brazil,SP,São Paulo,"Núcleo Rodrigues, 88 Leticia 07744-823 Alves / MG"
0049,Carvalho Peixoto e Filhos,N,5521986427028,Brazil,BA,Salvador,Vila Laura Montenegro Paulo Vi 89257-055 Vieira do Norte / DF
0050,Pires Ribeiro Ltda.,Y,5521903832078,Brazil,PR,Curitiba,"Setor de da Luz, 71 Manacas 78718-770 Oliveira de Minas / PI"
