labourCode,labourName,vehicleSeries,mainCategory,secondaryClassification,isBatteryRepair
WLR009BYD004,Regenerative Braking Adjustment,Han,Electrical,Regenerative Braking,N
WLR010BYD004,Onboard Charger Repair,Han,Electrical,Onboard Charger,N
WLR011BYD004,Drive unity Maintenance,Han,Mechanical,Drive Unit,N
WLR012BYD004,Gearbox Service,Han,Mechanical,Gearbox,N
WLR013BYD004,Heat Pump Repair,Han,Thermal Management,Heat Pump,N
WLR014BYD004,AC Compressor Service,Han,Thermal Management,AC Compressor,N
WLR015BYD004,Water Pump Replacement,Han,Cooling System,Water Pump,N
WLR016BYD004,Brake System Service,Han,Brake System,Brake System,N
WLR017BYD004,Suspension Repair,Han,Suspension,Suspension,N
WLR018BYD004,Headlight Alignment,Han,Lighting,Headlight,N
WLR019BYD004,Windshield Replacement,Han,Body,Windshield,N
WLR020BYD004,Fuse Replacement,Han,Electrical,Fuse,N
WLR001BYD005,Battery Replacement,Tan,Electrical,Battery,Y
WLR002BYD005,Motor Repair,Tan,Mechanical,Motor,N
WLR003BYD005,Inverter Replacement,Tan,Electrical,Inverter,N
WLR004BYD005,Charging Port Repair,Tan,Electrical,Charging Port,N
WLR005BYD005,DC-DC Converter Replacement,Tan,Electrical,DC-DC Converter,N
WLR006BYD005,BMS Calibration,Tan,Electrical,BMS,Y
WLR007BYD005,Power Electronics Repair,Tan,Electrical,Power Electronics,N
WLR008BYD005,Thermal Management Service,Tan,Thermal Management,Thermal Management,N
WLR009BYD005,Regenerative Braking Adjustment,Tan,Electrical,Regenerative Braking,N
WLR010BYD005,Onboard Charger Repair,Tan,Electrical,Onboard Charger,N
WLR011BYD005,Drive unity Maintenance,Tan,Mechanical,Drive Unit,N
WLR012BYD005,Gearbox Service,Tan,Mechanical,Gearbox,N
WLR013BYD005,Heat Pump Repair,Tan,Thermal Management,Heat Pump,N
WLR014BYD005,AC Compressor Service,Tan,Thermal Management,AC Compressor,N
WLR015BYD005,Water Pump Replacement,Tan,Cooling System,Water Pump,N
WLR016BYD005,Brake System Service,Tan,Brake System,Brake System,N
WLR017BYD005,Suspension Repair,Tan,Suspension,Suspension,N
WLR018BYD005,Headlight Alignment,Tan,Lighting,Headlight,N
WLR019BYD005,Windshield Replacement,Tan,Body,Windshield,N
WLR020BYD005,Fuse Replacement,Tan,Electrical,Fuse,N
