roPartId ,dealerOrderId,partCode,partQuantity,mainPartFlag,downPartSerialNumber,upPartSerialNumber,createBy,createDate,updateBy,updateDate
0000000062,000062,PACP0004BYD001,1.0,00081699,,,9999999999,2024-05-14,9999999988,2024-05-27
0000000063,000063,PACP0004BYD004,1.0,00448191,,,9999999999,2024-02-06,9999999988,2024-02-08
0000000064,000064,PAPEC007BYD003,1.0,00620339,,,9999999999,2024-07-05,9999999988,2024-07-09
0000000065,000065,PAPEC007BYD003,1.0,00650977,,,9999999999,2024-02-18,9999999988,2024-05-25
0000000066,000066,PAHVC011BYD001,4.0,00361708,,,9999999999,2024-05-01,9999999988,2024-07-07
0000000067,000067,PASC0260BYD001,1.0,00102444,,,9999999999,2024-04-26,9999999988,2024-06-29
0000000068,000068,PASC0260BYD003,2.0,00945272,,,9999999999,2024-06-11,9999999988,2024-07-23
0000000069,000069,PASC0260BYD003,3.0,00813398,,,9999999999,2024-07-19,9999999988,2024-07-23
0000000070,000070,PASC0260BYD001,2.0,00461887,,,9999999999,2024-03-01,9999999988,2024-03-29
0000000071,000071,PACP0004BYD005,1.0,00019386,,,9999999999,2024-05-19,9999999988,2024-06-03
0000000072,000072,PAPEC007BYD001,1.0,00744000,,,9999999999,2024-07-02,9999999988,2024-07-13
0000000073,000073,PASC0260BYD001,1.0,00994716,,,9999999999,2024-04-21,9999999988,2024-05-16
0000000074,000074,PASC0260BYD001,2.0,00257930,,,9999999999,2024-01-05,9999999988,2024-02-25
0000000075,000075,PAIN0003BYD003,1.0,00237212,,,9999999999,2024-05-18,9999999988,2024-05-31
0000000076,000076,PABP0001BYD003,1.0,00150791,,,9999999999,2024-01-16,9999999988,2024-02-24
0000000077,000077,PATMS008BYD003,1.0,00284534,,,9999999999,2024-06-04,9999999988,2024-06-04
0000000078,000078,PAHVC011BYD003,3.0,00115265,,,9999999999,2024-06-22,9999999988,2024-07-07
0000000079,000079,PACP0004BYD001,1.0,00951734,,,9999999999,2024-03-03,9999999988,2024-04-20
0000000080,000080,PARBS009BYD005,1.0,00856008,,,9999999999,2024-04-01,9999999988,2024-06-14
0000000081,000081,PABP0170BYD001,2.0,00459440,,,9999999999,2024-06-15,9999999988,2024-06-30
0000000082,000082,PACP0004BYD004,1.0,00204245,,,9999999999,2024-07-24,9999999988,2024-07-24
0000000083,000083,PACP0004BYD001,1.0,00562768,,,9999999999,2024-06-27,9999999988,2024-07-03
0000000084,000084,PABP0001BYD003,1.0,00124322,,,9999999999,2024-06-06,9999999988,2024-07-11
0000000085,000085,PAEAC015BYD001,1.0,00154033,,,9999999999,2024-03-22,9999999988,2024-07-09
0000000086,000086,PAPEC007BYD005,1.0,00735753,,,9999999999,2024-01-11,9999999988,2024-06-10
0000000087,000087,PACAF034BYD001,1.0,00669223,,,9999999999,2024-03-15,9999999988,2024-05-10
0000000088,000088,PARBS009BYD004,1.0,00699666,,,9999999999,2024-01-26,9999999988,2024-03-26
0000000089,000089,PACP0004BYD001,1.0,00609468,,,9999999999,2024-01-24,9999999988,2024-01-24
0000000090,000090,PACP0004BYD001,1.0,00562441,,,9999999999,2024-07-09,9999999988,2024-07-09
0000000091,000091,PASC0260BYD001,1.0,00156198,,,9999999999,2024-02-09,9999999988,2024-03-09
0000000092,000092,PASC0260BYD001,1.0,00655756,,,9999999999,2024-07-02,9999999988,2024-07-05
0000000093,000093,PASC0260BYD001,4.0,00684968,,,9999999999,2024-02-23,9999999988,2024-06-23
0000000094,000094,PASC0260BYD001,2.0,00506917,,,9999999999,2024-06-12,9999999988,2024-06-23
0000000095,000095,PASC0260BYD001,1.0,00642869,,,9999999999,2024-04-01,9999999988,2024-05-04
0000000096,000096,PABP0001BYD002,1.0,00514633,,,9999999999,2024-07-10,9999999988,2024-07-18
0000000097,000097,PATMS008BYD001,1.0,00685669,,,9999999999,2024-05-19,9999999988,2024-06-02
0000000098,000098,PACP0004BYD001,1.0,00178022,,,9999999999,2024-06-07,9999999988,2024-07-21
0000000099,000099,PASC0260BYD001,3.0,00747011,,,9999999999,2024-06-11,9999999988,2024-07-14
0000000100,000100,PAHVC011BYD003,2.0,00188285,,,9999999999,2024-03-07,9999999988,2024-06-06
0000000101,000101,PASC0260BYD001,3.0,00611626,,,9999999999,2024-04-15,9999999988,2024-06-29
0000000102,000102,PASC0260BYD001,4.0,00175209,,,9999999999,2024-01-27,9999999988,2024-06-30
0000000103,000103,PAHVC011BYD002,1.0,00300682,,,9999999999,2024-07-11,9999999988,2024-07-20
0000000104,000104,PACP0004BYD001,1.0,00425262,,,9999999999,2024-03-22,9999999988,2024-05-15
0000000105,000105,PAEM0002BYD004,1.0,00414366,,,9999999999,2024-01-15,9999999988,2024-06-13
0000000106,000106,PACP0004BYD003,1.0,00682900,,,9999999999,2024-02-09,9999999988,2024-03-21
0000000107,000107,PAPEC007BYD005,1.0,00294254,,,9999999999,2024-06-05,9999999988,2024-06-29
0000000108,000108,PASC0260BYD001,3.0,00122952,,,9999999999,2024-05-18,9999999988,2024-05-25
0000000109,000109,PASC0260BYD001,1.0,00005516,,,9999999999,2024-03-08,9999999988,2024-07-07
0000000110,000110,PATMS008BYD004,1.0,00139912,,,9999999999,2024-02-23,9999999988,2024-05-05
0000000111,000111,PASC0260BYD001,1.0,00310295,,,9999999999,2024-02-10,9999999988,2024-06-14
0000000112,000112,PABP0001BYD004,1.0,00352044,,,9999999999,2024-01-07,9999999988,2024-06-01
0000000113,000113,PATI0190BYD005,2.0,00187175,,,9999999999,2024-01-31,9999999988,2024-04-08
0000000114,000114,PABMS006BYD004,1.0,00642564,,,9999999999,2024-07-07,9999999988,2024-07-15
0000000115,000115,PASC0260BYD001,4.0,00844562,,,9999999999,2024-07-12,9999999988,2024-07-22
0000000116,000116,PABP0001BYD001,1.0,00879992,,,9999999999,2024-02-21,9999999988,2024-05-04
0000000117,000117,PARBS009BYD003,1.0,00925940,,,9999999999,2024-03-16,9999999988,2024-04-02
0000000118,000118,PARBS009BYD002,1.0,00205198,,,9999999999,2024-02-16,9999999988,2024-05-22
0000000119,000119,PABP0001BYD004,1.0,00596748,,,9999999999,2024-03-15,9999999988,2024-05-19
0000000120,000120,PACP0004BYD001,1.0,00373265,,,9999999999,2024-06-05,9999999988,2024-07-08
0000000121,000121,PACP0004BYD003,1.0,00766551,,,9999999999,2024-03-07,9999999988,2024-04-10
0000000122,000122,PABMS006BYD004,1.0,00069430,,,9999999999,2024-06-17,9999999988,2024-07-06
0000000123,000123,PACL0310BYD001,3.0,00769368,,,9999999999,2024-02-14,9999999988,2024-07-15
0000000124,000124,PASC0260BYD001,4.0,00090624,,,9999999999,2024-04-09,9999999988,2024-06-27
0000000125,000125,PACP0004BYD001,1.0,00035504,,,9999999999,2024-03-26,9999999988,2024-07-24
0000000126,000126,PABP0001BYD004,1.0,00536850,,,9999999999,2024-05-11,9999999988,2024-06-18
0000000127,000127,PASC0260BYD005,1.0,00478742,,,9999999999,2024-02-11,9999999988,2024-03-29
0000000128,000128,PASC0260BYD001,3.0,00589498,,,9999999999,2024-03-14,9999999988,2024-05-17
0000000129,000129,PATMS008BYD005,1.0,00096935,,,9999999999,2024-06-06,9999999988,2024-06-21
0000000130,000130,PASC0260BYD001,1.0,00601073,,,9999999999,2024-01-13,9999999988,2024-03-30
0000000131,000131,PACP0004BYD001,1.0,00492523,,,9999999999,2024-04-18,9999999988,2024-04-20
0000000132,000132,PATMS008BYD004,1.0,00907564,,,9999999999,2024-06-15,9999999988,2024-06-22
0000000133,000133,PASC0260BYD001,2.0,00256402,,,9999999999,2024-02-15,9999999988,2024-03-02
0000000134,000134,PAPEC007BYD005,1.0,00117885,,,9999999999,2024-03-31,9999999988,2024-05-18
0000000135,000135,PABP0170BYD002,6.0,00822962,,,9999999999,2024-04-11,9999999988,2024-07-09
0000000136,000136,PASC0260BYD001,4.0,00291235,,,9999999999,2024-07-16,9999999988,2024-07-24
0000000137,000137,PAWS0210BYD003,1.0,00033722,,,9999999999,2024-05-16,9999999988,2024-05-29
0000000138,000138,PACP0004BYD001,1.0,00568789,,,9999999999,2024-04-25,9999999988,2024-07-13
0000000139,000139,PABP0001BYD001,1.0,00959449,,,9999999999,2024-03-21,9999999988,2024-04-29
0000000140,000140,PASC0260BYD001,4.0,00957048,,,9999999999,2024-06-13,9999999988,2024-07-20
0000000141,000141,PATI0190BYD001,4.0,00032971,,,9999999999,2024-05-13,9999999988,2024-06-27
0000000142,000142,PASC0260BYD001,4.0,00277994,,,9999999999,2024-01-06,9999999988,2024-03-12
0000000143,000143,PACP0004BYD005,1.0,00059487,,,9999999999,2024-04-10,9999999988,2024-05-05
0000000144,000144,PASC0260BYD001,1.0,00696908,,,9999999999,2024-03-01,9999999988,2024-06-07
0000000145,000145,PASC0260BYD001,4.0,00420800,,,9999999999,2024-04-29,9999999988,2024-06-24
0000000146,000146,PABMS006BYD005,1.0,00800170,,,9999999999,2024-05-16,9999999988,2024-06-21
0000000147,000147,PASC0260BYD001,4.0,00584647,,,9999999999,2024-07-05,9999999988,2024-07-18
0000000148,000148,PAPEC007BYD005,1.0,00453128,,,9999999999,2024-01-11,9999999988,2024-07-07
0000000149,000149,PABP0001BYD004,1.0,00284943,,,9999999999,2024-01-27,9999999988,2024-01-31
0000000150,000150,PASC0260BYD001,4.0,00081489,,,9999999999,2024-04-22,9999999988,2024-07-08
0000000151,000151,PATI0190BYD003,4.0,00114491,,,9999999999,2024-04-04,9999999988,2024-05-20
0000000152,000152,PASC0260BYD001,2.0,00613196,,,9999999999,2024-01-11,9999999988,2024-06-11
0000000153,000153,PATMS008BYD001,1.0,00745258,,,9999999999,2024-03-16,9999999988,2024-06-07
0000000154,000154,PACP0004BYD001,1.0,00604961,,,9999999999,2024-07-03,9999999988,2024-07-08
0000000155,000155,PASC0260BYD001,3.0,00187068,,,9999999999,2024-02-08,9999999988,2024-04-29
0000000156,000156,PASC0260BYD001,2.0,00922048,,,9999999999,2024-07-13,9999999988,2024-07-22
0000000157,000157,PASC0260BYD001,2.0,00800876,,,9999999999,2024-02-23,9999999988,2024-07-01
0000000158,000158,PASC0260BYD001,3.0,00005941,,,9999999999,2024-06-26,9999999988,2024-07-13
0000000159,000159,PACP0004BYD001,1.0,00951325,,,9999999999,2024-01-25,9999999988,2024-03-06
0000000160,000160,PASC0260BYD001,2.0,00884277,,,9999999999,2024-01-04,9999999988,2024-02-03
0000000161,000161,PABMS006BYD004,1.0,00222651,,,9999999999,2024-02-21,9999999988,2024-03-03
0000000162,000162,PASC0260BYD001,4.0,00994599,,,9999999999,2024-03-05,9999999988,2024-03-30
0000000163,000163,PASC0260BYD001,3.0,00555859,,,9999999999,2024-03-16,9999999988,2024-06-08
0000000164,000164,PASC0260BYD001,4.0,00725741,,,9999999999,2024-05-17,9999999988,2024-07-03
0000000165,000165,PASC0260BYD001,3.0,00144775,,,9999999999,2024-05-24,9999999988,2024-06-21
0000000166,000166,PASC0260BYD001,3.0,00178335,,,9999999999,2024-02-12,9999999988,2024-06-02
0000000167,000167,PASC0260BYD001,1.0,00399937,,,9999999999,2024-06-25,9999999988,2024-06-28
0000000168,000168,PASC0260BYD001,4.0,00578905,,,9999999999,2024-07-08,9999999988,2024-07-18
0000000169,000169,PATMS008BYD005,1.0,00130210,,,9999999999,2024-03-29,9999999988,2024-03-29
0000000170,000170,PASC0260BYD001,3.0,00674198,,,9999999999,2024-04-04,9999999988,2024-05-08
0000000171,000171,PACAF034BYD001,1.0,00777175,,,9999999999,2024-07-12,9999999988,2024-07-14
0000000172,000172,PABP0001BYD003,1.0,00586368,,,9999999999,2024-05-07,9999999988,2024-06-12
0000000173,000173,PAHVC011BYD004,4.0,00791738,,,9999999999,2024-05-07,9999999988,2024-05-14
0000000174,000174,PABP0001BYD005,1.0,00372477,,,9999999999,2024-04-09,9999999988,2024-04-09
0000000175,000175,PABMS006BYD004,1.0,00162948,,,9999999999,2024-05-13,9999999988,2024-06-08
0000000176,000176,PASC0260BYD001,1.0,00161473,,,9999999999,2024-04-24,9999999988,2024-07-09
0000000177,000177,PACP0004BYD004,1.0,00112742,,,9999999999,2024-01-05,9999999988,2024-04-01
0000000178,000178,PAPEC007BYD005,1.0,00417325,,,9999999999,2024-05-05,9999999988,2024-05-09
0000000179,000179,PACP0004BYD001,1.0,00271294,,,9999999999,2024-03-29,9999999988,2024-05-18
0000000180,000180,PATI0190BYD003,2.0,00060870,,,9999999999,2024-07-11,9999999988,2024-07-17
0000000181,000181,PASC0260BYD001,1.0,00563120,,,9999999999,2024-04-13,9999999988,2024-04-23
0000000182,000182,PAIN0003BYD003,1.0,00290823,,,9999999999,2024-05-13,9999999988,2024-06-23
0000000183,000183,PAPEC007BYD005,1.0,00866334,,,9999999999,2024-05-20,9999999988,2024-07-04
0000000184,000184,PASC0260BYD001,4.0,00103520,,,9999999999,2024-02-23,9999999988,2024-05-17
0000000185,000185,PABP0001BYD002,1.0,00786869,,,9999999999,2024-03-23,9999999988,2024-05-27
0000000186,000186,PAPEC007BYD004,1.0,00850127,,,9999999999,2024-04-15,9999999988,2024-07-06
0000000187,000187,PACP0004BYD004,1.0,00034051,,,9999999999,2024-05-16,9999999988,2024-06-15
0000000188,000188,PASC0260BYD001,2.0,00097354,,,9999999999,2024-05-08,9999999988,2024-06-05
0000000189,000189,PACL0310BYD001,2.0,00066784,,,9999999999,2024-01-12,9999999988,2024-03-21
0000000190,000190,PARBS009BYD003,1.0,00080552,,,9999999999,2024-04-20,9999999988,2024-05-07
0000000191,000191,PASC0260BYD001,2.0,00685812,,,9999999999,2024-01-18,9999999988,2024-07-07
0000000192,000192,PASC0260BYD001,1.0,00114227,,,9999999999,2024-03-06,9999999988,2024-06-06
0000000193,000193,PACP0004BYD001,1.0,00068296,,,9999999999,2024-01-02,9999999988,2024-02-23
0000000194,000194,PABP0001BYD001,1.0,00659917,,,9999999999,2024-06-20,9999999988,2024-07-05
0000000195,000195,PABP0001BYD004,1.0,00724197,,,9999999999,2024-02-14,9999999988,2024-06-04
0000000196,000196,PASC0260BYD001,1.0,00308386,,,9999999999,2024-04-02,9999999988,2024-05-25
0000000197,000197,PACP0004BYD001,1.0,00707670,,,9999999999,2024-01-17,9999999988,2024-05-14
0000000198,000198,PATI0190BYD005,1.0,00506852,,,9999999999,2024-03-28,9999999988,2024-06-02
0000000199,000199,PASC0260BYD001,3.0,00860930,,,9999999999,2024-04-06,9999999988,2024-04-23
0000000200,000200,PACP0004BYD001,1.0,00317944,,,9999999999,2024-03-06,9999999988,2024-03-18
0000000201,000201,PABMS006BYD002,1.0,00185210,,,9999999999,2024-07-05,9999999988,2024-07-18
0000000202,000202,PAEAC015BYD001,1.0,00349061,,,9999999999,2024-01-24,9999999988,2024-06-06
0000000203,000203,PASC0260BYD003,2.0,00174335,,,9999999999,2024-04-10,9999999988,2024-05-10
0000000204,000204,PABP0001BYD004,1.0,00493662,,,9999999999,2024-05-22,9999999988,2024-06-07
0000000205,000205,PASC0260BYD001,2.0,00219005,,,9999999999,2024-06-08,9999999988,2024-07-24
0000000206,000206,PASC0260BYD001,2.0,00370145,,,9999999999,2024-05-02,9999999988,2024-07-22
0000000207,000207,PAPEC007BYD005,1.0,00673097,,,9999999999,2024-02-16,9999999988,2024-03-23
0000000208,000208,PAEM0002BYD001,1.0,00915474,,,9999999999,2024-04-19,9999999988,2024-06-15
0000000209,000209,PASC0260BYD001,4.0,00118262,,,9999999999,2024-02-08,9999999988,2024-02-14
0000000210,000210,PACP0004BYD001,1.0,00802973,,,9999999999,2024-03-31,9999999988,2024-04-06
0000000211,000211,PAPEC007BYD005,1.0,00455118,,,9999999999,2024-01-19,9999999988,2024-03-05
0000000212,000212,PACP0004BYD001,1.0,00866666,,,9999999999,2024-03-13,9999999988,2024-06-27
0000000213,000213,PASC0260BYD001,2.0,00397435,,,9999999999,2024-01-24,9999999988,2024-05-21
0000000214,000214,PACP0004BYD001,1.0,00052098,,,9999999999,2024-05-23,9999999988,2024-07-08
0000000215,000215,PACP0004BYD001,1.0,00414713,,,9999999999,2024-01-12,9999999988,2024-05-04
0000000216,000216,PASC0260BYD001,3.0,00095421,,,9999999999,2024-02-18,9999999988,2024-05-29
0000000217,000217,PAEM0002BYD004,1.0,00920404,,,9999999999,2024-01-01,9999999988,2024-07-10
0000000218,000218,PASC0260BYD001,2.0,00889544,,,9999999999,2024-01-20,9999999988,2024-03-26
0000000219,000219,PABP0001BYD004,1.0,00370622,,,9999999999,2024-06-03,9999999988,2024-06-10
0000000220,000220,PASC0260BYD001,1.0,00389101,,,9999999999,2024-03-27,9999999988,2024-06-01
0000000221,000221,PASC0260BYD001,3.0,00384450,,,9999999999,2024-04-13,9999999988,2024-04-18
0000000222,000222,PAIN0003BYD001,1.0,00507480,,,9999999999,2024-03-08,9999999988,2024-05-25
0000000223,000223,PAPEC007BYD004,1.0,00351815,,,9999999999,2024-06-21,9999999988,2024-07-10
0000000224,000224,PASC0260BYD001,2.0,00180707,,,9999999999,2024-05-29,9999999988,2024-06-28
0000000225,000225,PAEM0002BYD005,1.0,00971387,,,9999999999,2024-04-26,9999999988,2024-05-27
0000000226,000226,PAPEC007BYD003,1.0,00639264,,,9999999999,2024-07-11,9999999988,2024-07-12
0000000227,000227,PASC0260BYD001,4.0,00197883,,,9999999999,2024-03-17,9999999988,2024-07-24
0000000228,000228,PATI0190BYD003,3.0,00369410,,,9999999999,2024-05-14,9999999988,2024-06-11
0000000229,000229,PABMS006BYD004,1.0,00982112,,,9999999999,2024-03-10,9999999988,2024-07-23
0000000230,000230,PAHVC011BYD005,2.0,00477777,,,9999999999,2024-05-14,9999999988,2024-05-25
0000000231,000231,PAIN0003BYD005,1.0,00548135,,,9999999999,2024-04-13,9999999988,2024-07-16
0000000232,000232,PASC0260BYD001,4.0,00766551,,,9999999999,2024-01-22,9999999988,2024-06-15
0000000233,000233,PACP0004BYD001,1.0,00521182,,,9999999999,2024-03-17,9999999988,2024-04-27
0000000234,000234,PABP0170BYD002,6.0,00940235,,,9999999999,2024-03-26,9999999988,2024-04-21
0000000235,000235,PATMS008BYD002,1.0,00369577,,,9999999999,2024-04-03,9999999988,2024-06-13
0000000236,000236,PATMS008BYD001,1.0,00182529,,,9999999999,2024-07-02,9999999988,2024-07-09
0000000237,000237,PABP0001BYD003,1.0,00671944,,,9999999999,2024-05-21,9999999988,2024-05-24
0000000238,000238,PABP0001BYD004,1.0,00112853,,,9999999999,2024-04-27,9999999988,2024-05-18
0000000239,000239,PACP0004BYD001,1.0,00711196,,,9999999999,2024-01-14,9999999988,2024-05-04
0000000240,000240,PABP0001BYD003,1.0,00979577,,,9999999999,2024-06-08,9999999988,2024-06-22
0000000241,000241,PABP0001BYD004,1.0,00989407,,,9999999999,2024-06-27,9999999988,2024-07-06
0000000242,000242,PASC0260BYD001,3.0,00522625,,,9999999999,2024-04-21,9999999988,2024-06-16
0000000243,000243,PASC0260BYD001,4.0,00881293,,,9999999999,2024-05-09,9999999988,2024-05-28
0000000244,000244,PABP0001BYD004,1.0,00687149,,,9999999999,2024-03-07,9999999988,2024-04-30
0000000245,000245,PASC0260BYD001,3.0,00840566,,,9999999999,2024-06-25,9999999988,2024-07-19
0000000246,000246,PATI0190BYD003,4.0,00930692,,,9999999999,2024-05-17,9999999988,2024-05-20
0000000247,000247,PACP0004BYD001,1.0,00678796,,,9999999999,2024-07-05,9999999988,2024-07-17
0000000248,000248,PASC0260BYD001,4.0,00901442,,,9999999999,2024-03-07,9999999988,2024-04-29
0000000249,000249,PASC0260BYD001,3.0,00129830,,,9999999999,2024-06-24,9999999988,2024-07-23
0000000250,000250,PABMS006BYD004,1.0,00508535,,,9999999999,2024-03-16,9999999988,2024-04-28
0000000251,000251,PACP0004BYD001,1.0,00265243,,,9999999999,2024-07-08,9999999988,2024-07-13
0000000252,000252,PASC0260BYD001,2.0,00021664,,,9999999999,2024-05-24,9999999988,2024-06-30
0000000253,000253,PASC0260BYD001,4.0,00530062,,,9999999999,2024-07-25,9999999988,2024-07-25
0000000254,000254,PASC0260BYD001,4.0,00599322,,,9999999999,2024-05-01,9999999988,2024-05-26
0000000255,000255,PACP0004BYD001,1.0,00639502,,,9999999999,2024-04-13,9999999988,2024-04-21
0000000256,000256,PABP0001BYD003,1.0,00881683,,,9999999999,2024-02-02,9999999988,2024-03-24
0000000257,000257,PACP0004BYD001,1.0,00131103,,,9999999999,2024-04-09,9999999988,2024-07-03
0000000258,000258,PACP0004BYD001,1.0,00422810,,,9999999999,2024-05-16,9999999988,2024-06-19
0000000259,000259,PASC0260BYD001,3.0,00176264,,,9999999999,2024-04-27,9999999988,2024-06-18
0000000260,000260,PACP0004BYD003,1.0,00635878,,,9999999999,2024-07-07,9999999988,2024-07-13
0000000261,000261,PARBS009BYD004,1.0,00080561,,,9999999999,2024-03-21,9999999988,2024-06-21
0000000262,000262,PACP0004BYD001,1.0,00237525,,,9999999999,2024-02-13,9999999988,2024-02-26
0000000263,000263,PATI0190BYD002,3.0,00436511,,,9999999999,2024-02-23,9999999988,2024-06-30
0000000264,000264,PASC0260BYD001,2.0,00508101,,,9999999999,2024-06-16,9999999988,2024-07-03
0000000265,000265,PAPEC007BYD001,1.0,00965363,,,9999999999,2024-04-11,9999999988,2024-06-08
