PART_CODE,SAP Material name,Local Material Code,Unit,Discount Category,Dangerous goods,Order permission,Order type,Selling price,Suggested retail price,Warranty Parts Price,Single vehicle consumption,SAP Material No.,SAP Material Name,Manual code,Customs code,Vehicle series,Scope of services,Minimum packing quantity,Volume,Region,Whether it is Auxiliary material,Whether it is Included in the ordering target of spare parts and supplies,Whether the allowance for spare parts is included,Whether it is Maintenance part,Whether there is a commission,Model description,Whether there is allowance for sheet metal spraying,Covering parts for sheet metal spraying or not,Spare parts category,Spare parts type,Code of replace,Post-Package weight,Packaging specifications,Whether to trace,Whether it is In short supply,Whether retail,Expediting coefficient,Whether it is A Self-made part,Whether it is Included in turnover assessment,Remarks,Planner,Whether it is The first maintenance,Pre-approval or not,Maximum number of orders,Classification of accessories,Accessories type,Minimum number of applications,Scheduled days,Department,Production cycle,Highest inventory,Arrival warning,Minimum purchase quantity,Special for after-sales,The sales store cannot order,Whether the repair paint is certified by the original manufacturer,Special for new energy,Online sales price,Employee price,Department price,Marketing script,Product description,Warehouse area,Pictures,Type of claim,length width height,Warranty period,Coefficient of sheet metal and spray parts,Whether it is Publicized,Material abbreviation,Whether the motor number is filled in,Is it oil,Oil type,Capacity (l),Planner Email,Small Amount Order Pricing Ratio,Whether the material is authorised,Country of origin,NOM Certification,Creation date
HVC011,High Voltage Cables,LOC-7092,PCS,B,N,Restricted,Standard,30.6,33.66,27.54,2.0,MAT-786961,High Voltage Cables,MAN-2802,CUS-392703,EV,Full,10.0,3.79,Europe,Y,Y,N,N,Y,Model-3749,Y,Y,Category A,Type 3,REP-5919,13.68,36x17x80,N,Y,N,0.66,N,N,Quos quos blanditiis doloribus rerum enim. Deleniti voluptate inventore repellat accusamus officia.,Augusto da Cunha,Y,N,31.0,Class A,Type C,2.0,20.0,Dept B,90.0,145.0,N,6.0,N,Y,N,Y,218.3,133.81,367.69,Facere maxime perspiciatis quas. A fugiat provident sit molestias consequuntur dicta blanditiis. Nihil consequatur sequi fugiat sed impedit ea. Veniam tempore nobis ipsa praesentium mollitia.,Accusantium in sit iste ducimus ea nesciunt. Quos necessitatibus quisquam consequuntur a cupiditate earum possimus. Quam temporibus corporis nemo.,Area 3,https://dummyimage.com/34x899,Type C,56x31x44,55.0,0.6,N,MAT-3571,N,Y,Type 2,9.92,pribeiro@example.org,1.29,Y,Sweden,Y,2024-01-03
EDU012,Electric Drive Unit,LOC-2835,PCS,A,Y,Allowed,Urgent,119.15,131.07,107.24,5.0,MAT-336623,Electric Drive Unit,MAN-3407,CUS-648916,EV,Full,7.0,5.86,Asia,Y,N,Y,Y,Y,Model-5694,Y,N,Category A,Type 3,REP-8864,0.95,62x35x45,N,N,Y,0.27,Y,N,Aliquid ea mollitia. Veritatis odio recusandae mollitia quaerat quaerat alias.,Luiz Miguel Marques,N,Y,64.0,Class C,Type A,8.0,12.0,Dept A,89.0,354.0,N,2.0,N,Y,Y,N,492.39,405.91,22.87,Corporis eius dolorum odit dolor. Alias harum possimus sint deserunt ipsa quod. Ex aspernatur praesentium repellat officia dolorum. Autem laborum ipsam officiis dolor debitis doloribus quod.,"Dolores voluptatum iste tempora culpa.
Eligendi vero cumque.",Area 1,https://picsum.photos/341/731,Type B,95x25x95,6.0,1.95,Y,MAT-7600,Y,N,Type 3,12.6,da-conceicaosofia@example.com,0.68,N,China,N,2024-07-04
RG013,Reduction Gear,LOC-7975,EA,B,Y,Allowed,Urgent,21.32,23.45,19.19,1.0,MAT-850967,Reduction Gear,MAN-6129,CUS-616391,SUV,Full,9.0,3.38,Europe,N,Y,N,Y,Y,Model-1498,N,Y,Category B,Type 2,REP-4576,4.23,14x20x58,Y,N,N,1.86,Y,Y,Quis sapiente officia quo facilis. Mollitia dolore est similique quod aperiam.,Dra. Alana Caldeira,Y,Y,82.0,Class A,Type A,4.0,8.0,Dept A,58.0,357.0,Y,10.0,N,N,Y,N,313.57,453.79,224.47,"Amet odit illo a sit labore. Non culpa suscipit nihil doloribus hic provident.
Reprehenderit omnis animi in. Itaque voluptates incidunt velit velit.","Voluptatum tempora debitis fugit. Quisquam dolorem atque autem vero illo. Minus in architecto corporis.
Minima placeat exercitationem accusantium explicabo. Inventore officiis ab ipsa et.",Area 2,https://dummyimage.com/658x369,Type B,71x11x48,2.0,0.36,Y,MAT-1322,Y,Y,Type 1,17.95,mariaabreu@example.com,1.25,N,Sweden,Y,2024-01-12
HP014,Heat Pump,LOC-5853,EA,C,Y,Allowed,Standard,209.53,230.48,188.58,5.0,MAT-153610,Heat Pump,MAN-8348,CUS-786027,EV,Full,8.0,3.3,Europe,Y,Y,N,Y,Y,Model-7898,N,N,Category A,Type 3,REP-1443,12.87,37x67x25,N,N,N,1.39,Y,N,Tenetur accusamus veniam deleniti distinctio modi distinctio. Maiores labore quam.,Antonella Machado,Y,N,10.0,Class B,Type A,10.0,2.0,Dept B,75.0,42.0,N,8.0,Y,N,N,N,254.45,196.62,117.09,Incidunt eveniet excepturi fugiat corporis temporibus fugit. Ex corporis non ab. Similique veniam reprehenderit magnam officiis. Unde voluptates vitae.,Quae quia neque vitae dicta similique laboriosam. Voluptatibus harum magni aspernatur aut placeat. Aperiam vitae perspiciatis quod blanditiis.,Area 1,https://picsum.photos/415/387,Type C,50x81x48,25.0,0.6,N,MAT-4948,N,N,Type 2,12.01,nathan19@example.org,1.91,N,China,N,2024-03-22
EAC015,Electric Air Conditioning Compressor,LOC-1886,EA,B,N,Restricted,Urgent,237.5,261.25,213.75,3.0,MAT-838610,Electric Air Conditioning Compressor,MAN-3344,CUS-652808,SUV,Full,8.0,7.44,North America,Y,N,N,Y,Y,Model-5012,Y,N,Category A,Type 3,REP-1047,7.01,66x30x47,Y,Y,N,1.2,Y,N,Vero similique tenetur blanditiis dolorem dicta.,Bella Ribeiro,N,Y,3.0,Class C,Type B,5.0,6.0,Dept B,26.0,78.0,Y,7.0,Y,Y,N,Y,269.26,112.21,393.05,Voluptas saepe odit nostrum. Omnis distinctio esse molestias perferendis. Similique veritatis laudantium deserunt.,"Harum quisquam voluptas delectus quibusdam eveniet. Aut sit error excepturi itaque.
Aliquid itaque porro possimus. Explicabo consectetur modi. Alias et occaecati sapiente.",Area 3,https://picsum.photos/9/323,Type A,26x18x78,38.0,0.26,N,MAT-4471,N,N,Type 3,9.52,murilo42@example.com,1.72,N,Germany,Y,2024-05-20
EWP016,Electric Water Pump,LOC-8950,EA,A,Y,Allowed,Standard,102.94,113.23,92.65,3.0,MAT-180042,Electric Water Pump,MAN-1248,CUS-725527,Sedan,Partial,5.0,7.58,Asia,N,Y,N,N,N,Model-3845,N,N,Category A,Type 1,REP-5381,6.35,97x94x74,N,N,N,0.94,N,Y,Minus ratione corrupti necessitatibus natus libero aut. Consectetur voluptatum eum odio voluptates.,Dra. Maitê Silveira,Y,Y,98.0,Class B,Type C,5.0,12.0,Dept A,17.0,56.0,Y,2.0,N,Y,Y,N,404.33,105.8,209.89,Vel dolorem mollitia possimus. Nemo quis nobis nam sed quisquam. Praesentium esse dignissimos.,Voluptate dolorem officia maiores labore. Asperiores repudiandae laudantium minus distinctio ab. Ipsam porro debitis quidem.,Area 1,https://placekitten.com/10/41,Type B,41x17x26,28.0,0.7,N,MAT-2728,Y,N,Type 3,3.95,pvasconcelos@example.net,1.69,Y,Germany,Y,2024-05-15
BP017,Brake Pads,LOC-4253,EA,C,N,Restricted,Urgent,353.38,388.72,318.04,3.0,MAT-292172,Brake Pads,MAN-7651,CUS-177469,Sedan,Full,9.0,8.89,North America,Y,Y,Y,Y,Y,Model-3868,Y,N,Category C,Type 2,REP-6519,8.78,22x81x68,Y,Y,Y,0.61,Y,N,Omnis eos eligendi voluptates ex quia dicta. Quidem quos minus autem.,Gabriela da Conceição,Y,N,36.0,Class C,Type C,7.0,17.0,Dept B,48.0,161.0,Y,9.0,Y,N,Y,N,297.49,486.24,424.94,Quaerat facere dicta inventore unde tempora. Odio adipisci hic voluptates.,Laborum magnam sit dolore nisi et unde provident. Eos magnam a dolor minima inventore excepturi. Nesciunt quae facilis eum necessitatibus beatae natus.,Area 3,https://placekitten.com/547/47,Type C,45x18x94,9.0,1.2,Y,MAT-8812,N,Y,Type 3,17.54,milenanovais@example.com,1.2,N,Germany,N,2024-03-04
BD018,Brake Discs,LOC-8134,EA,C,N,Restricted,Urgent,263.42,289.76,237.08,2.0,MAT-764901,Brake Discs,MAN-8622,CUS-966668,EV,Full,9.0,1.49,North America,N,N,N,Y,Y,Model-7542,N,N,Category A,Type 3,REP-1295,10.01,39x12x68,N,N,N,1.78,Y,N,Enim odio ullam. Nemo reprehenderit totam amet consectetur.,Júlia Farias,Y,N,47.0,Class B,Type C,10.0,27.0,Dept A,12.0,181.0,N,10.0,N,N,N,N,426.59,71.28,478.04,Cum perferendis eos. Saepe nulla mollitia eos provident voluptate quibusdam laudantium. Harum dolore corrupti.,Veritatis aliquam hic itaque in. Ipsam quia dicta nihil eum incidunt culpa.,Area 1,https://placekitten.com/356/756,Type A,14x65x17,33.0,2.0,N,MAT-9213,Y,N,Type 1,14.09,eborges@example.com,1.28,Y,Sweden,N,2024-06-08
TI019,Tires,LOC-1994,EA,B,N,Restricted,Urgent,179.25,197.18,161.33,2.0,MAT-529212,Tires,MAN-8703,CUS-366157,EV,Partial,2.0,3.67,Asia,N,Y,Y,N,Y,Model-5435,N,N,Category C,Type 3,REP-7455,15.86,72x50x23,Y,N,Y,1.78,Y,N,Fugit omnis et molestias voluptates veniam sit eius.,Maria Isis Aragão,Y,N,95.0,Class A,Type B,9.0,2.0,Dept A,72.0,304.0,N,1.0,Y,Y,N,Y,471.11,471.45,287.18,Ipsam reprehenderit eius quasi neque. Suscipit error porro error. Cum aliquid eum ducimus rem et.,"Adipisci earum dolore quae repellat veritatis commodi. Quae fugiat natus pariatur repellat.
Quo in neque deserunt dolore enim. Ipsam repellendus reprehenderit a dolorem unde tenetur ea.",Area 3,https://dummyimage.com/345x377,Type A,16x22x16,44.0,0.58,N,MAT-1453,N,Y,Type 1,6.52,usantos@example.com,1.56,Y,China,N,2024-06-20
WB020,Wheel Bearings,LOC-7945,SET,C,N,Restricted,Standard,193.63,212.99,174.27,3.0,MAT-268424,Wheel Bearings,MAN-4145,CUS-508680,Sedan,Partial,6.0,7.83,Asia,N,Y,Y,Y,Y,Model-2819,Y,Y,Category A,Type 3,REP-3643,9.09,47x19x29,Y,Y,Y,1.31,N,Y,Unde voluptatum dicta cumque possimus. Officiis voluptate non minima placeat accusantium.,Joana Freitas,Y,Y,9.0,Class A,Type C,9.0,7.0,Dept A,89.0,37.0,N,5.0,N,Y,N,N,475.91,267.71,437.73,At quidem velit doloremque sequi. Cupiditate et nihil labore vero accusantium itaque.,Occaecati iure iure perferendis. Doloribus impedit error laborum eos similique maxime. Laborum officiis error nobis debitis in nam non. Eos dolores laborum earum pariatur amet deserunt.,Area 2,https://picsum.photos/986/742,Type C,62x53x65,56.0,1.2,N,MAT-7199,N,N,Type 2,14.26,joao-felipe14@example.org,0.49,N,China,N,2024-04-14
WS021,Windshield,LOC-3325,EA,A,Y,Restricted,Urgent,199.84,219.82,179.86,3.0,MAT-824703,Windshield,MAN-5005,CUS-558352,Sedan,Partial,1.0,6.47,Asia,Y,Y,Y,Y,N,Model-4213,N,N,Category A,Type 2,REP-3644,14.75,98x76x74,Y,Y,N,0.6,N,N,Accusamus fugit cupiditate dolore aliquam minus quas. Esse inventore amet maiores.,Jade Campos,Y,Y,81.0,Class C,Type B,6.0,5.0,Dept C,67.0,391.0,Y,10.0,N,N,N,N,149.41,363.77,111.08,Consequatur nemo voluptas quia adipisci consequuntur similique. Similique sed nam maiores excepturi. Rerum adipisci consequatur excepturi quidem autem esse.,Sapiente molestias deleniti incidunt in vero cupiditate. Sed facere cupiditate ipsam voluptatem nostrum.,Area 3,https://dummyimage.com/965x624,Type C,74x67x81,35.0,1.04,N,MAT-8438,Y,Y,Type 3,16.09,fbrito@example.net,1.04,N,Germany,N,2024-06-17
MI022,Mirrors,LOC-2089,SET,A,Y,Restricted,Standard,360.81,396.89,324.73,5.0,MAT-891139,Mirrors,MAN-3433,CUS-212461,EV,Partial,8.0,2.62,North America,N,Y,Y,Y,N,Model-9531,Y,N,Category B,Type 3,REP-9356,10.38,78x22x60,N,Y,N,0.49,N,Y,Porro hic ipsam aliquid eveniet facilis laborum ducimus. Laudantium minus nisi repudiandae itaque.,Catarina Câmara,N,Y,24.0,Class C,Type B,6.0,9.0,Dept B,47.0,21.0,Y,5.0,N,N,Y,N,296.37,87.47,484.31,Eaque quisquam doloremque at repellat iure exercitationem. Aliquid voluptates ratione unde nisi.,"Facilis ab eos. Unde autem cupiditate corrupti quam praesentium.
Cum voluptatem necessitatibus eius eligendi quam suscipit. Fuga voluptates eum eum quasi. Minus ad eos placeat fugit doloribus.",Area 2,https://placekitten.com/2/443,Type C,33x88x80,3.0,0.54,Y,MAT-3555,N,N,Type 3,9.14,leonardo48@example.net,0.77,N,China,Y,2024-07-17
HL023,Headlights,LOC-3572,EA,C,Y,Restricted,Standard,306.35,336.99,275.72,3.0,MAT-799934,Headlights,MAN-8935,CUS-158898,EV,Full,8.0,5.17,North America,Y,Y,Y,Y,Y,Model-8724,N,N,Category C,Type 3,REP-4716,0.9,82x77x75,N,N,Y,1.28,Y,Y,Aut saepe corporis non magnam tenetur. Facere voluptate quos provident.,Maria Luísa da Conceição,Y,N,6.0,Class B,Type A,9.0,22.0,Dept C,69.0,203.0,N,10.0,Y,N,N,Y,405.82,349.73,323.09,"Modi natus odit nostrum.
Totam enim sequi eveniet.
Animi alias necessitatibus corporis. Harum placeat impedit ratione. Reprehenderit at laborum cum similique.",Molestiae provident laborum totam excepturi omnis est. Minima ipsam eaque perferendis praesentium fuga. Error nemo optio ipsa facere commodi.,Area 1,https://picsum.photos/840/318,Type C,90x69x57,16.0,0.75,N,MAT-9684,N,N,Type 2,19.62,theodoro12@example.net,1.52,N,Germany,Y,2024-02-20
TL024,Taillights,LOC-6178,SET,B,N,Restricted,Urgent,26.39,29.03,23.75,1.0,MAT-925592,Taillights,MAN-9235,CUS-521373,EV,Full,10.0,9.24,Europe,N,N,Y,Y,N,Model-3730,Y,Y,Category C,Type 1,REP-1900,7.51,15x42x93,N,N,N,1.55,Y,N,Ipsum dolores eos adipisci. Optio necessitatibus tempora minima numquam aliquam eum ullam.,Dr. Samuel Pires,N,Y,20.0,Class C,Type C,3.0,18.0,Dept B,4.0,432.0,N,3.0,N,N,Y,N,202.61,121.3,40.83,At explicabo ipsum labore voluptatum porro amet. Voluptas id modi a expedita praesentium minima. Aut voluptatum maiores saepe unde autem tempore.,"Ut iusto sed blanditiis consequatur. Similique debitis sed ipsum.
Voluptates doloremque occaecati. Doloribus numquam illo fuga maiores rerum.",Area 1,https://placekitten.com/225/595,Type B,59x85x21,57.0,0.11,Y,MAT-8438,N,N,Type 3,8.76,rezendefernando@example.com,0.37,Y,China,Y,2024-02-22
WB025,Wiper Blades,LOC-4075,PCS,C,Y,Allowed,Standard,275.28,302.81,247.75,4.0,MAT-676724,Wiper Blades,MAN-1276,CUS-703417,EV,Partial,3.0,7.22,Europe,N,Y,N,N,N,Model-7802,Y,N,Category B,Type 2,REP-1253,15.28,66x77x49,Y,N,N,1.56,Y,Y,Optio expedita doloremque cumque. Quis doloribus beatae soluta quaerat rem.,Agatha da Rosa,N,Y,23.0,Class A,Type C,9.0,7.0,Dept A,6.0,146.0,N,6.0,Y,Y,N,N,409.65,217.49,166.68,"Rem neque et earum provident error asperiores consequatur.
Expedita excepturi architecto iusto similique reiciendis. Illum incidunt asperiores modi.","Culpa illo ipsa quas. Error fugit atque velit distinctio saepe.
Illo autem voluptatum. Deserunt tenetur veritatis molestias recusandae deserunt. Error iste quo fuga. Deserunt voluptates sapiente.",Area 2,https://picsum.photos/524/212,Type A,19x59x86,39.0,0.37,Y,MAT-8659,Y,Y,Type 2,5.58,piresisabelly@example.org,1.6,Y,Germany,Y,2024-06-16
