VEHICLE_CODE,VEHICLE_NAME,LABOUR_CODE,LABOUR_NAME,MAIN_CATEGORY,SECOND_CATEGORY,BATTERY_REPAIR
 94421,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 95243,Dolphin,LR019,Windshield Replacement,Safety,Windshield,N
 10233,Shark,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 16506,Qin,LR005,DC-DC Converter Replacement,Electrical,DC-DC Converter,N
 15351,King,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 45705,Qin,LR008,Thermal Management Service,Electrical,Thermal Management,N
 29864,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 66666,Song,LR019,Windshield Replacement,Safety,Windshield,N
 64827,Seal,LR010,Onboard Charger Repair,Electrical,Onboard Charger,N
 37604,Dolphin Mini,LR004,Charging Port Repair,Electrical,Charging Port,N
 63392,Dolphin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 53432,Song,LR017,Suspension Repair,Mechanical,Suspension,N
 38256,Qin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 80751,Qin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
  6100,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 95146,Han,LR016,Brake System Service,Mechanical,Brakes,N
 90155,King,LR017,Suspension Repair,Mechanical,Suspension,N
 72934,Tang,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 94693,Tang,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 59367,Han,LR016,Brake System Service,Mechanical,Brakes,N
 52700,Yuan,LR015,Water Pump Replacement,Mechanical,Water Pump,N
  1570,Dolphin,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 74792,King,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 34935,Song,LR002,Motor Repair,Electrical,Motor,N
 14385,Qin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
  2416,Dolphin Mini,LR002,Motor Repair,Electrical,Motor,N
 45314,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
